,filename,author,description,viewcount,rating,likes,dislikes,duration,length,keywords,published,colors_1_red,colors_1_blue,colors_1_green,colors_2_red,colors_2_blue,colors_2_green,colors_3_red,colors_3_blue,colors_3_green,colors_4_red,colors_4_blue,colors_4_green,colors_5_red,colors_5_blue,colors_5_green,colors_6_red,colors_6_blue,colors_6_green,colors_7_red,colors_7_blue,colors_7_green,colors_8_red,colors_8_blue,colors_8_green,colors_9_red,colors_9_blue,colors_9_green,colors_10_red,colors_10_blue,colors_10_green,genre
0,"Randy Travis - Forever And Ever, Amen (Official Video).3gp",Randy Travis,"å© 2009 WMG Randy Travis - Forever And Ever, Amen (Official Video)
Reserve your copy of Randy Travis' new Anniversary Celebration duets album, in stores June 7th: http://budurl.com/rtacpresales
Thumbs up and share if you would!
twitter: http://twitter.com/randytravis
Facebook: http://facebook.com/randytravis
Site: http://randytravis.com/",14631960,4.869238853,75011,2535,0:04:24,264,"[Randy Travis, Forever And Ever, Amen, Country, Contemporary, yt:crop=16:9]",10/27/09 2:26,230,170,150,230,160,140,240,180,160,220,150,130,240,170,150,220,160,140,230,160,130,230,170,140,220,150,120,260,180,170,country
1,Rosanne Cash - Tennessee Flat Top Box.3gp,JohnnyCJuneCashSong,"This is the tribute Concert to Johnny Cash (2003)
His daughter talk about her's dad and singing His hit Tennessee Flat Top Box.
Lyrics: 
In a little cabere
In a south texas boarder town
Sat a boy and his guitar
And the people came from all around
And all the girls
From there to Austin
Were slippin' away from home
And puttin' jewlery and hopped to take the trip
To go and listen
To the little dark-haired boy who played the
Tennessee flat top box
And he would play
Well he couldn't ride or wrangle
And he never cared to make it down
But give him his guitar
And he'd be happy all the time
And all the girls
From nine to ninety
Were snappin' fingers
Tappin' toes
And beggin' him don't stop
And hypnotized
And fasinated
By the little dark-haired boy who played the
Tennessee flat top box
And he would play
Then one day he was gone
And no one ever saw him 'round
He vanished like the breeze
They forgot him in the little town
But all the girls
Still dreamed about him
And hung around
The cabere until the doors were locked
And then one day
On the hit parade
Was the little dark-haired boy who played the
Tennessee flat top box
And he would play",3988110,4.836619377,12892,549,0:06:34,394,"[Tennessee, Flat, Top, Box, Rosanne, Cash, tribute, concert, memorial, Johnny, 2003]",9/10/10 16:17,20,20,40,30,30,50,20,20,50,20,30,50,30,30,60,20,30,60,10,10,30,50,30,30,10,20,60,20,30,70,country
2,Lonestar - Amazed.3gp,LonestarVEVO,"Lonestar's official music video for 'Amazed'. Click to listen to Lonestar on Spotify: http://smarturl.it/LSpot?IQid=LA
As featured on Lonely Grill. Click to buy the track or album via iTunes: http://smarturl.it/LLGiTunes?IQid=LA
Google Play: http://smarturl.it/LPlay?IQid=LA
Amazon: http://smarturl.it/LLGAm?IQid=LA
Stream more music from Lonestar here: http://smarturl.it/LStream?IQid=LA
More from Lonestar
I'm Already There (Message From Home): https://youtu.be/1jm5gfuT9Z4
Mountains: https://youtu.be/QoqGUVOXmkU
You Walked In: https://youtu.be/uh5tdgs_s9A
More great Classic Country videos here: http://smarturl.it/ClassicCPlaylist?IQid=LA
Follow Lonestar
Website: http://www.lonestarnow.com
Facebook: https://www.facebook.com/lonestarnow
Twitter:https://twitter.com/lonestarband
Myspace: https://myspace.com/lonestar
Subscribe to Lonestar on YouTube: http://smarturl.it/LSub?IQid=LA
---------
Lyrics:
Every time our eyes meet
This feeling inside me
Is almost more than I can take
Baby when you touch me
I can feel how much you love me
And it just blows me away
I've never been this close to anyone or anything
I can hear your thoughts
I can see your dreams
I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby I'm amazed by you",17015418,4.895862103,92367,2469,0:04:01,241,"[Lonestar official, Not A Day Goes By, hq, official, stripped, Lonestar, Lonestar live, Cash, Lonestar Amazed lyrics, Lonestar Amazed, cover, full album, Front Porch Looking In, karaoke, download, piano, music, playlist, best of, Lonestar Amazed live, audio, lyrics, live, music video, vevo, Sony, album, acoustic, Mr Mom, official video, I'm already there, single, Lonestar lyrics, Walking In Memphis, instrumental, LonestarVEVO, Country, Best, of]",3/5/11 9:03,0,10,20,0,10,30,0,20,20,0,20,30,0,0,20,0,20,40,10,20,30,0,10,40,0,30,40,0,30,50,country
3,Ricky Van Shelton -  I'll Leave This World Loving You.3gp,Midnightryder3,Entity: Sony Music Entertainment Content Type: Sound Recording  ( NO COPYRIGHT INFRINGMENT INTENDED )~~~~~,2774724,4.875899792,13055,418,0:03:18,198,"[ricky van shelton, i'll leave this world]",8/6/09 16:31,20,240,240,20,240,240,20,240,240,150,170,220,20,250,240,260,250,240,40,40,60,70,120,180,260,240,240,50,40,60,country
4,Tracy Lawerence Sticks And Stones.3gp,babyblues4u2, ,3568234,4.846431732,14903,595,0:03:39,219,"[Tracy, Lawerence, Sticks, And, Stones, 2]",6/12/09 2:07,250,240,220,250,240,230,70,20,20,260,240,210,250,240,220,250,230,220,40,20,10,250,100,60,250,200,100,260,240,220,country
5,Toby Keith - Who's Your Daddy_.3gp,TobyKeithVEVO,Hope On The Rocks Releases 10/30/2012 Pre-Order on iTunes here! http://smarturl.it/hotritunespre,13231491,4.822455883,29797,1384,0:04:14,254,"[Toby, Keith, DreamWorks, Nashville, Country]",6/16/09 22:18,20,0,0,50,40,30,20,10,0,80,60,40,60,40,30,40,30,20,30,10,0,30,20,10,70,50,40,60,50,40,country
6,If Tomorrow Never Comes.3gp,webberphan,"A wonderful sentiment, in a song by Ronan Keating, featuring the movie, P. S. I Love You with Gerard Butler",1283073,4.77114439,1895,115,0:03:43,223,"[Gerard, Butler]",12/14/07 6:41,60,30,10,50,20,10,50,30,10,60,30,10,60,40,20,70,40,20,70,40,10,60,40,10,50,30,20,50,20,10,country
7,Willie Nelson - Always On My Mind.3gp,WillieNelsonVEVO,"Willie Nelson's official music video for 'Always On My Mind'. Click to listen to Willie Nelson on Spotify: http://smarturl.it/WNSpot?IQid=WNOMM
As featured on The Essential Willie Nelson. Click to buy the track or album via iTunes: http://smarturl.it/WNEWN?IQid=WNOMM
Google Play: http://smarturl.it/WNOMMPlay?IQid=WNOMM
Amazon: http://smarturl.it/WNEWNAm?IQid=WNOMM
Stream more music from Willie Nelson here: http://smarturl.it/WNStream?IQid=WNOMM
More from Willie Nelson
Blue Eyes Crying In The Rain: https://youtu.be/JA644rSZX1A
Just Breathe: https://youtu.be/ow-Cx9IX4So
On The Road Again: https://youtu.be/dBN86y30Ufc
More great country videos here: http://smarturl.it/CCountry?IQid=WNOMM
Follow Willie Nelson
Website: http://willienelson.com
Facebook: https://www.facebook.com/WillieNelson
Twitter: https://twitter.com/willienelson
Myspace: https://myspace.com/willienelson
Subscribe to Willie Nelson on YouTube: http://smarturl.it/WNSub?IQid=WNOMM
---------
Lyrics:
Maybe I didn't love you
Quite as oftenas I could have
And maybe I didn't treat you
Quite as good as I should have
If I made you feel second best
Girl I'm sorry I was blind
You were always on my mind
You were always on my mind",28495170,4.876116753,108352,3463,0:03:36,216,"[stripped, official, hq, Willie Nelson Always On My Mind live, cover, full album, karaoke, download, piano, music, Always On My Mind lyrics, Best of Willie Nelson, On The Road Again, Willie Nelson official, audio, Blue Eyes Crying In The Rain, lyrics, music video, live, vevo, WillieNelsonVEVO, Whiskey River, Sony, album, acoustic, Willie Nelson, Willie Nelson lyrics, Always On My Mind, official video, single, instrumental, Just Breathe, Willie]",10/25/09 20:10,120,10,150,120,10,150,70,30,20,40,30,20,140,70,50,150,80,50,170,90,60,190,110,70,100,30,30,170,100,60,country
